323,140
327,143
157,131
260,34
314,224
121,200
121,200
121,200
121,200
121,200
121,200
121,200
274,92
274,92
406,36
508,55
234,100
109,20
201,99
201,99
300,99
300,99
300,99
300,99
300,99
300,99
300,99
300,99
300,99
300,99
176,56
176,56
176,56
177,57
177,57
177,57
177,57
177,57
177,57
177,57
177,57
177,57
177,57
177,57
344,255
138,303
374,70
164,279
299,96
182,375
418,228
300,117
231,205
117,343
117,343
203,266
199,209
199,209
199,209
199,209
199,209
